Fecha;Hora;Estacion;Gas95;GasA;Premium;Eco
03/01/2026;01:44;BOBADILLA;1,499;1,445;;
03/01/2026;01:44;GRANADA CARR. BADAJOZ;1,509;1,449;1,529;
03/01/2026;01:44;PUERTO LOPE;1,479;1,439;;1,549
03/01/2026;01:44;N-432 KM 396;1,529;1,469;1,539;
03/01/2026;01:44;ALCALA LA REAL;1,455;1,459;1,529;
03/01/2026;01:44;SANTA CRUZ;1,488;1,508;1,558;
03/01/2026;01:44;SALIDA GRANADA;1,489;1,509;1,559;
03/01/2026;01:44;CARRETERA PALMA;1,469;1,525;;1,635
03/01/2026;01:44;ZOCO;1,479;1,519;1,569;
03/01/2026;01:44;REPUBLICA ARGENTINA;1,479;1,525;1,575;
03/01/2026;01:44;LEROY MERLIN;1,465;1,509;;1,619
03/01/2026;01:52;BOBADILLA;1,499;1,445;;
03/01/2026;01:52;GRANADA CARR. BADAJOZ;1,509;1,449;1,529;
03/01/2026;01:52;PUERTO LOPE;1,479;1,439;;1,549
03/01/2026;01:52;N-432 KM 396;1,529;1,469;1,539;
03/01/2026;01:52;ALCALA LA REAL;1,455;1,459;1,529;
03/01/2026;01:52;SANTA CRUZ;1,488;1,508;1,558;
03/01/2026;01:52;SALIDA GRANADA;1,489;1,509;1,559;
03/01/2026;01:52;CARRETERA PALMA;1,469;1,525;;1,635
03/01/2026;01:52;ZOCO;1,479;1,519;1,569;
03/01/2026;01:52;REPUBLICA ARGENTINA;1,479;1,525;1,575;
03/01/2026;01:52;LEROY MERLIN;1,465;1,509;;1,619

03/01/2026;02:10;BOBADILLA;1,499;1,445;;
03/01/2026;02:10;GRANADA CARR. BADAJOZ;1,509;1,449;1,529;
03/01/2026;02:10;PUERTO LOPE;1,479;1,439;;1,549
03/01/2026;02:10;N-432 KM 396;1,529;1,469;1,539;
03/01/2026;02:10;ALCALA LA REAL;1,455;1,459;1,529;
03/01/2026;02:10;SANTA CRUZ;1,488;1,508;1,558;
03/01/2026;02:10;SALIDA GRANADA;1,489;1,509;1,559;
03/01/2026;02:10;CARRETERA PALMA;1,469;1,525;;1,635
03/01/2026;02:10;ZOCO;1,479;1,519;1,569;
03/01/2026;02:10;REPUBLICA ARGENTINA;1,479;1,525;1,575;
03/01/2026;02:10;LEROY MERLIN;1,465;1,509;;1,619
03/01/2026;02:15;BOBADILLA;1,499;1,445;;
03/01/2026;02:15;GRANADA CARR. BADAJOZ;1,509;1,449;1,529;
03/01/2026;02:15;PUERTO LOPE;1,479;1,439;;1,549
03/01/2026;02:15;N-432 KM 396;1,529;1,469;1,539;
03/01/2026;02:15;ALCALA LA REAL;1,455;1,459;1,529;
03/01/2026;02:15;SANTA CRUZ;1,488;1,508;1,558;
03/01/2026;02:15;SALIDA GRANADA;1,489;1,509;1,559;
03/01/2026;02:15;CARRETERA PALMA;1,469;1,525;;1,635
03/01/2026;02:15;ZOCO;1,479;1,519;1,569;
03/01/2026;02:15;REPUBLICA ARGENTINA;1,479;1,525;1,575;
03/01/2026;02:15;LEROY MERLIN;1,465;1,509;;1,619
